,Compound,Date,Negative,Neutral,Positive,Tweet,User
122,-0.296,2018-06-11 19:01:38,0.833,0.167,0.0,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa",CBS
123,-0.296,2018-06-11 19:01:38,0.833,0.167,0.0,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa",CBS
124,0.5093,2018-06-11 22:23:06,0.829,0.0,0.171,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…",CBS
125,0.5093,2018-06-11 22:23:06,0.829,0.0,0.171,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…",CBS
126,-0.5562,2018-06-12 00:19:23,0.551,0.315,0.134,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",CBS
127,-0.5562,2018-06-12 00:19:23,0.551,0.315,0.134,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",CBS
128,0.0,2018-06-12 07:00:10,0.722,0.139,0.139,This new service uses a smartphone and camera glasses to help blind or partially sighted people. https://t.co/5Ca4REP9xU,BBC
129,0.4019,2018-06-12 07:28:06,0.863,0.0,0.137,"🧟📱 A Chinese city has introduced a special pedestrian lane on one of its roads, exclusively for slow-walking smartp… https://t.co/rBVq8RO5KN",BBC
130,0.0,2018-06-12 08:00:18,1.0,0.0,0.0,"🔊🐦 Ever heard a beatboxing starling? 
#Springwatch https://t.co/N758EN4j3s",BBC
131,0.5994,2018-06-12 08:25:43,0.855,0.0,0.145,"RT @bbcgetinspired: History will be made at the #WorldCup 

Here's @LivCookefs to get you in the mood. Could you do these super skills? #Ge…",BBC
132,0.2732,2018-06-12 09:34:55,0.877,0.0,0.123,RT @bbcthree: Robert Lee quit his well paid Wall Street job to feed the homeless https://t.co/OHl500fXn1,BBC
133,0.3802,2018-06-12 10:10:18,0.899,0.0,0.101,"RT @BBCR1: ✨💫 Today's the day! 💫✨

Make sure you're listening to @claraamfo to hear @5SOS perform in the Live Lounge at 12pm 👉 https://t.co…",BBC
134,0.0,2018-06-12 10:21:42,1.0,0.0,0.0,Captain Mainwaring and his comrades are to feature on a new set of stamps to mark the 50th anniversary of the class… https://t.co/h8wGtRaGtO,BBC
135,-0.296,2018-06-12 11:03:02,0.891,0.109,0.0,"🥒 Use a wooden chopping board 
🍄 Stop peeling your mushrooms
🤔 Throw your spaghetti at the wall... 

Here are 10 co… https://t.co/e8RCeFoJvg",BBC
136,-0.2869,2018-06-12 11:04:42,0.734,0.158,0.108,"RT @bbcrb: Who doesn't love Gromit?
Even his biggest fans won't have seen him like THIS before! 😮✈️ https://t.co/8jvF1G1EeC",BBC
137,0.5719,2018-06-12 12:00:21,0.73,0.0,0.27,🙌 Meet the 10-year-old with cerebral palsy who's won a modelling contract. https://t.co/UxQFh12fPX,BBC
138,0.2003,2018-06-12 12:15:37,0.755,0.104,0.141,"RT @BBCR1: How special is this cover?!

@5SOS take on @AliceMerton's 'No Roots' in the Live Lounge 💕 https://t.co/EmYc7O524x",BBC
139,-0.7096,2018-06-12 13:02:04,0.619,0.275,0.107,"The ""Sensational Six"" have been friends for 40 years. After one of the group died from cancer, this photo inspired… https://t.co/grOw4K4mEA",BBC
140,0.5719,2018-06-12 14:38:12,0.871,0.0,0.129,"RT @bbcarts: 100 years after women won the right to vote, and with the #MeToo movement making waves around the world, are we really any clo…",BBC
141,-0.0258,2018-06-12 15:01:55,0.561,0.224,0.215,"😂 Charlie Chaplin: The original distracted boyfriend.
👉 https://t.co/SplrRVbEzo https://t.co/5pYs0lIMcM",BBC
142,-0.2263,2018-06-12 15:14:54,0.84,0.16,0.0,RT @BBCOne: .@StaceyDooley investigates the changing face of women's protests. https://t.co/1cdtKOdQ50,BBC
143,0.6369,2018-06-12 15:36:53,0.794,0.0,0.206,RT @bbcwritersroom: Find out how we created 4 brand new #comedy monologues across the UK for the #BiggestWeekend festival and watch all 4 n…,BBC
144,0.3802,2018-06-12 16:00:03,0.667,0.1,0.233,"🇸🇪🙊 Learn how to swear like a Swede! 

(via @BBCRadio4) https://t.co/S789Be360L",BBC
145,0.0,2018-06-12 17:01:05,1.0,0.0,0.0,"🤢 How long has it been since you last washed your tea towel?

Multi-use of tea towels is putting households at risk… https://t.co/PHJy8gmVSX",BBC
146,0.8402,2018-06-12 18:07:04,0.667,0.0,0.333,This is the remarkable story of a convent of Mexican nuns helping to save one of the world's most endangered amphib… https://t.co/onravMF7l2,BBC
147,0.0,2018-06-12 19:01:04,1.0,0.0,0.0,"🖥 The US has debuted the world's fastest supercomputer and it can process 200 petaflops per second.
👉… https://t.co/6vWlmLR2nT",BBC
148,0.5413,2018-06-13 07:00:15,0.811,0.0,0.189,"🎶 SOUND ON 🎶 
💙 This is the most relaxing way to start your day.
#OurBluePlanet w/ @OceanX https://t.co/powXPfRdat",BBC
149,-0.4588,2018-06-13 07:26:10,0.857,0.143,0.0,"🌱👀 Shengshan island in China's eastern Zhejiang province is home to Houtouwan, an abandoned village that has become… https://t.co/66x0Zg6TOm",BBC
150,0.0,2018-06-13 08:00:04,1.0,0.0,0.0,"🐦🐦🐦
Do these photos change your view of pigeons? https://t.co/SQKBEWW3Fs",BBC
151,0.0,2018-06-13 09:36:59,1.0,0.0,0.0,"😲⚱️ An 18th Century Chinese vase, left for decades in a shoebox in France, has sold for 16.2m euros (£14.2m).
👉… https://t.co/7atcYClrRw",BBC
152,0.128,2018-06-13 10:15:53,0.923,0.0,0.077,"A daredevil raccoon in St Paul, Minnesota, has had the internet on tenterhooks after scaling 23 floors of a buildin… https://t.co/tqjQwFVL3I",BBC
153,0.0,2018-06-13 11:00:15,1.0,0.0,0.0,"Did you know you've had an accent since birth?

🗣 Seven things you need to hear about your voice.
👉… https://t.co/3OGd30hpVQ",BBC
154,0.0,2018-06-13 12:03:07,1.0,0.0,0.0,⚡️ Meet Hertha Ayrton – the woman who shaped how we use electricity. https://t.co/LZnr5wtYNy,BBC
155,0.0,2018-06-13 12:47:08,1.0,0.0,0.0,RT @bbcarts: Flags by artists including Grayson Perry (@Alan_Measles) and Cornelia Parker have appeared across London's West End as the @ro…,BBC
156,0.0,2018-06-13 16:01:03,1.0,0.0,0.0,'Black people think I have white privilege.' https://t.co/SoNEFZfdZ6,BBC
157,0.0,2018-06-13 16:01:03,1.0,0.0,0.0,'Black people think I have white privilege.' https://t.co/SoNEFZfdZ6,BBC
158,-0.4019,2018-06-13 16:25:17,0.837,0.163,0.0,"RT @BBCiPlayer: Witness the might of female factory workers in Dagenham, who fought for equal pay in 1968. 💪 🙌🏾 
#MadeinDagenham: https://t…",BBC
159,-0.4019,2018-06-13 16:25:17,0.837,0.163,0.0,"RT @BBCiPlayer: Witness the might of female factory workers in Dagenham, who fought for equal pay in 1968. 💪 🙌🏾 
#MadeinDagenham: https://t…",BBC
160,0.6369,2018-06-13 16:30:31,0.819,0.0,0.181,"RT @BBCOne: There are some ingredients that even Britain’s best home cooks can’t get on board with. #BBHC 🤔

@Chris_Bavin https://t.co/whDV…",BBC
